epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5796.93,0.54076,0.50718,0.40858,0.85841,0.99768,1,0.995,0.89822,0.99768,1,0.995,0.95675,0.46882,0.3818,0.33764,0.84048,0.0090199,0.0090199,0.0090199
101,5853.39,0.54229,0.5038,0.39342,0.86014,0.99793,1,0.995,0.9224,0.99793,1,0.995,0.94819,0.42575,0.35479,0.30817,0.83223,0.00901,0.00901,0.00901
102,5910.29,0.5297,0.54198,0.41446,0.86543,0.99804,1,0.995,0.89859,0.99804,1,0.995,0.96917,0.44879,0.37199,0.33486,0.85368,0.0090001,0.0090001,0.0090001
103,5968.46,0.57886,0.6031,0.40214,0.8727,0.99663,1,0.995,0.91806,0.99663,1,0.995,0.94922,0.39289,0.37978,0.33595,0.83056,0.0089902,0.0089902,0.0089902
104,6026.26,0.53791,0.51328,0.38631,0.89165,0.99781,1,0.995,0.90304,0.99781,1,0.995,0.93307,0.44214,0.42241,0.31739,0.83314,0.0089803,0.0089803,0.0089803
105,6082.91,0.58072,0.53012,0.41803,0.87142,0.99786,1,0.995,0.89367,0.99786,1,0.995,0.92513,0.50094,0.42974,0.33431,0.84027,0.0089704,0.0089704,0.0089704
106,6139.37,0.58487,0.53825,0.40713,0.88465,0.88086,0.986,0.94737,0.79398,0.88086,0.986,0.94737,0.84225,0.52758,0.525,0.50913,0.86371,0.0089605,0.0089605,0.0089605
107,6195.84,0.56986,0.54191,0.40561,0.88689,0.9978,1,0.995,0.892,0.9978,1,0.995,0.96751,0.49074,0.35787,0.36097,0.84694,0.0089506,0.0089506,0.0089506
108,6252.51,0.59255,0.55744,0.41078,0.8952,0.99764,1,0.995,0.90624,0.99764,1,0.995,0.96346,0.44212,0.37966,0.33599,0.82989,0.0089407,0.0089407,0.0089407
109,6308.75,0.5438,0.47817,0.40018,0.87011,0.99756,1,0.995,0.90922,0.99756,1,0.995,0.96916,0.42602,0.36392,0.32126,0.83154,0.0089308,0.0089308,0.0089308
110,6364.94,0.5499,0.53579,0.38599,0.89012,0.9971,1,0.995,0.8923,0.9971,1,0.995,0.95761,0.46316,0.40408,0.30965,0.8429,0.0089209,0.0089209,0.0089209
111,6422.06,0.53123,0.48796,0.39077,0.86677,0.99767,1,0.995,0.90925,0.99767,1,0.995,0.95607,0.47946,0.38475,0.3295,0.84979,0.008911,0.008911,0.008911
112,6481.4,0.55414,0.50171,0.39569,0.87773,0.99813,1,0.995,0.90349,0.99813,1,0.995,0.95758,0.48752,0.3727,0.33059,0.84686,0.0089011,0.0089011,0.0089011
113,6538.43,0.52431,0.53865,0.39707,0.87948,0.99787,1,0.995,0.92015,0.99787,1,0.995,0.95485,0.43273,0.35915,0.30365,0.83658,0.0088912,0.0088912,0.0088912
114,6597.89,0.53871,0.51383,0.40775,0.88406,0.99742,1,0.995,0.9245,0.99742,1,0.995,0.95579,0.448,0.38815,0.32969,0.82343,0.0088813,0.0088813,0.0088813
115,6654.7,0.53142,0.46269,0.39222,0.88646,0.99753,1,0.995,0.92161,0.99753,1,0.995,0.95627,0.42562,0.36192,0.32158,0.82489,0.0088714,0.0088714,0.0088714
